ensembl_gene_id	BE1	KAN	NBLW	CHLA122	CHLA15	BE2	KANR	NBLWR	CHLA136	CHLA20
ENSG00000053371	141	224	233	130	435	343	102	120	126	270
ENSG00000200403	3	2	5	1	6	3	4	3	5	5
ENSG00000040487	73	88	148	80	177	153	79	103	91	112
ENSG00000077549	739	935	1803	696	1841	2053	585	1049	821	1408
ENSG00000173436	81	109	282	67	293	182	119	162	67	239
ENSG00000226396	22	26	22	12	28	25	12	14	17	21
ENSG00000158747	6	55	47	34	92	53	15	36	19	84
ENSG00000158748	24	31	14	24	48	59	16	27	8	48
ENSG00000162542	1	0	0	0	4	5	0	12	0	9
ENSG00000169914	479	474	485	436	853	1116	949	428	505	720
ENSG00000162543	0	0	0	11	2	14	0	0	5	0
ENSG00000158816	1	0	4	0	16	0	0	0	0	3
ENSG00000162545	41	183	442	299	175	37	162	199	233	132
ENSG00000090432	143	176	353	192	335	286	138	277	258	231
ENSG00000183114	41	47	7	35	139	104	12	68	49	58
ENSG00000158828	108	188	221	150	448	163	68	188	115	251
ENSG00000117242	114	61	180	137	207	138	104	121	123	114
ENSG00000244038	705	839	1888	738	2023	2130	741	836	938	1314
ENSG00000117245	5	21	23	35	31	96	27	25	9	23
ENSG00000235432	0	1	1	2	1	1	2	2	0	1
ENSG00000189410	29	107	163	57	107	66	57	89	77	70
ENSG00000127483	1863	2108	3106	1574	4460	4346	2743	1927	1832	3864
ENSG00000075151	889	1384	2217	974	2735	2434	1218	1349	991	1889
ENSG00000221808	1	1	0	3	3	1	0	3	2	1
ENSG00000233072	3	1	2	0	7	4	5	1	3	9
ENSG00000236073	3	2	1	2	1	5	9	0	3	2
ENSG00000117298	248	311	472	374	763	1428	627	273	622	362
ENSG00000231105	7	7	1	19	4	3	9	13	4	2
ENSG00000227001	4	0	6	1	8	4	0	1	1	4
ENSG00000187952	7	12	18	23	16	21	4	9	12	2
ENSG00000142794	40	152	52	107	361	144	70	31	60	269
ENSG00000162551	2	20	2	46	101	55	27	5	7	118
ENSG00000076864	37	70	159	65	352	135	44	142	32	267
ENSG00000090686	647	833	1470	794	1607	1557	997	808	749	1242
ENSG00000187942	2	0	1	1	6	10	0	10	0	4
ENSG00000142798	119	151	243	151	782	1258	200	242	151	583
ENSG00000218510	97	80	152	59	104	215	88	97	95	92
ENSG00000070831	615	981	1770	703	1690	1592	819	809	764	1351
ENSG00000230068	3	12	9	9	13	14	15	12	3	11
ENSG00000271840	5	5	10	6	5	9	8	3	1	8
ENSG00000162552	62	31	0	18	41	24	33	30	34	1
ENSG00000279625	2	1	0	3	2	4	3	0	4	1
ENSG00000184677	602	540	1298	396	1947	889	1061	669	1138	1471
ENSG00000237200	2	3	7	0	14	11	11	2	5	4
ENSG00000070886	13	5	71	87	230	106	7	37	11	235
ENSG00000133216	389	157	429	402	977	804	292	393	430	628
ENSG00000004487	2362	3288	5704	2606	6616	7171	3089	2866	2843	4641
ENSG00000169641	167	196	374	192	714	472	326	225	251	626
ENSG00000261326	106	97	199	74	150	239	115	70	36	204
ENSG00000125944	2557	3960	5970	2575	6951	5641	3940	3248	2956	5600
ENSG00000125945	118	142	201	95	335	230	160	135	153	241
ENSG00000249087	38	64	40	58	54	62	59	69	45	35
ENSG00000204219	1	5	3	19	94	15	5	9	3	19
